Year,Government spending percentage on,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,Health,N,2017,,NUMBER,9.43
2016,Health,N,2016,,NUMBER,10.94
2015,Health,N,2015,,NUMBER,11.01
2017,education,N,2017,,NUMBER,10.3
2016,education,N,2016,,NUMBER,10.79
2015,education,N,2015,,NUMBER,10.85
2017,Social protection,N,2017,,NUMBER,18.26
2016,Social protection,N,2016,,NUMBER,16.11
2015,Social protection,N,2015,,NUMBER,15.71
2017,total,N,2017,,NUMBER,37.99
2016,total,N,2016,,NUMBER,37.85
2015,total,N,2015,,NUMBER,37.57
