Year,Sub-indicators,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,Direct economic loss attributed to disasters (current United States dollars),N,2017,VC_DSR_GDPLS,NUMBER,1418393.0787
2017,Direct economic loss attributed to disasters relative to GDP (%),N,2017,VC_DSR_GDPLS,NUMBER,4e-05
2017,Direct agriculture loss attributed to disasters (current United States dollars),N,2017,VC_DSR_GDPLS,NUMBER,38593.0787
2017,Direct economic loss in the housing sector attributed to disasters (current United States dollars),N,2017,VC_DSR_GDPLS,NUMBER,1377000.0
2017,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),N,2017,VC_DSR_GDPLS,NUMBER,0.0
2017,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),N,2017,VC_DSR_GDPLS,NUMBER,2800.0
2017,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),N,2017,VC_DSR_GDPLS,NUMBER,0.0
2016,Direct economic loss attributed to disasters (current United States dollars),N,2016,VC_DSR_GDPLS,NUMBER,1060537.6704
2016,Direct economic loss attributed to disasters relative to GDP (%),N,2016,VC_DSR_GDPLS,NUMBER,3e-05
2016,Direct agriculture loss attributed to disasters (current United States dollars),N,2016,VC_DSR_GDPLS,NUMBER,971812.6704
2016,Direct economic loss in the housing sector attributed to disasters (current United States dollars),N,2016,VC_DSR_GDPLS,NUMBER,88725.0
2016,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),N,2016,VC_DSR_GDPLS,NUMBER,0.0
2016,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),N,2016,VC_DSR_GDPLS,NUMBER,0.0
2016,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),N,2016,VC_DSR_GDPLS,NUMBER,0.0
2011,Direct economic loss attributed to disasters (current United States dollars),N,2011,VC_DSR_GDPLS,NUMBER,125777090.8416
2011,Direct economic loss attributed to disasters relative to GDP (%),N,2011,VC_DSR_GDPLS,NUMBER,0.00436
2011,Direct agriculture loss attributed to disasters (current United States dollars),N,2011,VC_DSR_GDPLS,NUMBER,125777090.8416
2011,Direct economic loss in the housing sector attributed to disasters (current United States dollars),N,2011,VC_DSR_GDPLS,NUMBER,0.0
2011,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),N,2011,VC_DSR_GDPLS,NUMBER,0.0
2011,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),N,2011,VC_DSR_GDPLS,NUMBER,0.0
2011,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),N,2011,VC_DSR_GDPLS,NUMBER,0.0
2010,Direct economic loss attributed to disasters (current United States dollars),N,2010,VC_DSR_GDPLS,NUMBER,13200338.8954
2010,Direct economic loss attributed to disasters relative to GDP (%),N,2010,VC_DSR_GDPLS,NUMBER,0.0005
2010,Direct agriculture loss attributed to disasters (current United States dollars),N,2010,VC_DSR_GDPLS,NUMBER,13087514.363
2010,Direct economic loss in the housing sector attributed to disasters (current United States dollars),N,2010,VC_DSR_GDPLS,NUMBER,112725.0
2010,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),N,2010,VC_DSR_GDPLS,NUMBER,99.5324
2010,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),N,2010,VC_DSR_GDPLS,NUMBER,0.0
2010,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),N,2010,VC_DSR_GDPLS,NUMBER,0.0
2009,Direct economic loss attributed to disasters (current United States dollars),N,2009,VC_DSR_GDPLS,NUMBER,2608507.1252
2009,Direct economic loss attributed to disasters relative to GDP (%),N,2009,VC_DSR_GDPLS,NUMBER,0.00011
2009,Direct agriculture loss attributed to disasters (current United States dollars),N,2009,VC_DSR_GDPLS,NUMBER,79312.1252
2009,Direct economic loss in the housing sector attributed to disasters (current United States dollars),N,2009,VC_DSR_GDPLS,NUMBER,80925.0
2009,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),N,2009,VC_DSR_GDPLS,NUMBER,2448270.0
2009,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),N,2009,VC_DSR_GDPLS,NUMBER,0.0
2009,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),N,2009,VC_DSR_GDPLS,NUMBER,0.0
